,Study ID,Participant ID,Native,Designer,Test ID,Test type,Trial ID,Font,Sample,Category,Response,Correct,Seen,Foil,Response time,JoM,JoL,Date
161,Pilot,2,yes,Other designer,1,lexical,18,sansforgetica,railts,non-word,Probably non-word,0.6666666666666667,,,1610,63,ok,19-03-2019 16:25
162,Pilot,2,yes,Other designer,1,lexical,19,sansforgetica,objectuffs,non-word,Probably non-word,0.6666666666666667,,,2212,63,ok,19-03-2019 16:25
163,Pilot,2,yes,Other designer,1,lexical,20,sansforgetica,probably,word,Sure word,1,,,1626,63,ok,19-03-2019 16:25
164,Pilot,2,yes,Other designer,1,recognition,1,sansforgetica,obsenctiage,non-word,Sure not seen,1,non-seen,objectuffs,4120,63,ok,19-03-2019 16:25
165,Pilot,2,yes,Other designer,1,recognition,2,sansforgetica,telling,word,Probably not seen,0.6666666666666667,non-seen,television,3853,63,ok,19-03-2019 16:25
166,Pilot,2,yes,Other designer,1,recognition,3,sansforgetica,relaterial,non-word,Sure not seen,1,non-seen,regioney,2322,63,ok,19-03-2019 16:25
167,Pilot,2,yes,Other designer,1,recognition,4,sansforgetica,workers,word,Sure not seen,1,non-seen,worked,1532,63,ok,19-03-2019 16:25
168,Pilot,2,yes,Other designer,1,recognition,5,sansforgetica,speed,word,Sure not seen,1,non-seen,speech,1215,63,ok,19-03-2019 16:25
169,Pilot,2,yes,Other designer,1,recognition,6,sansforgetica,althdren,non-word,Probably seen,0.6666666666666666,seen,althdren,4431,63,ok,19-03-2019 16:25
170,Pilot,2,yes,Other designer,1,recognition,7,sansforgetica,railts,non-word,Sure seen,1,seen,railts,2368,63,ok,19-03-2019 16:25
171,Pilot,2,yes,Other designer,1,recognition,8,sansforgetica,hanposed,non-word,Sure not seen,1,non-seen,handence,1671,63,ok,19-03-2019 16:25
172,Pilot,2,yes,Other designer,1,recognition,9,sansforgetica,women,word,Sure not seen,1,non-seen,without,2863,63,ok,19-03-2019 16:25
173,Pilot,2,yes,Other designer,1,recognition,10,sansforgetica,durprology,non-word,Sure not seen,1,non-seen,drojects,1782,63,ok,19-03-2019 16:25
174,Pilot,2,yes,Other designer,1,recognition,11,sansforgetica,money,word,Sure not seen,0,seen,money,3943,63,ok,19-03-2019 16:25
175,Pilot,2,yes,Other designer,1,recognition,12,sansforgetica,given,word,Sure seen,1,seen,given,3144,63,ok,19-03-2019 16:25
176,Pilot,2,yes,Other designer,1,recognition,13,sansforgetica,scievority,non-word,Probably not seen,0.3333333333333333,seen,scievority,5751,63,ok,19-03-2019 16:25
177,Pilot,2,yes,Other designer,1,recognition,14,sansforgetica,break,word,Sure seen,1,seen,break,1496,63,ok,19-03-2019 16:25
178,Pilot,2,yes,Other designer,1,recognition,15,sansforgetica,creviver,non-word,Probably not seen,0.3333333333333333,seen,creviver,1744,63,ok,19-03-2019 16:25
179,Pilot,2,yes,Other designer,1,recognition,16,sansforgetica,answered,word,Probably not seen,0.3333333333333333,seen,answered,3862,63,ok,19-03-2019 16:25
180,Pilot,2,yes,Other designer,2,lexical,1,inputsans,dindow,non-word,Probably non-word,0.6666666666666667,,,3444,60,difficult to read,19-03-2019 16:25
181,Pilot,2,yes,Other designer,2,lexical,2,inputsans,friend,word,Sure word,1,,,1517,60,difficult to read,19-03-2019 16:25
182,Pilot,2,yes,Other designer,2,lexical,3,inputsans,century,word,Sure word,1,,,1275,60,difficult to read,19-03-2019 16:25
183,Pilot,2,yes,Other designer,2,lexical,4,inputsans,letters,word,Sure word,1,,,1425,60,difficult to read,19-03-2019 16:25
184,Pilot,2,yes,Other designer,2,lexical,5,inputsans,balance,word,Sure word,1,,,944,60,difficult to read,19-03-2019 16:25
185,Pilot,2,yes,Other designer,2,lexical,6,inputsans,unpligatic,non-word,Probably word,0.33333333333333337,,,1831,60,difficult to read,19-03-2019 16:25
186,Pilot,2,yes,Other designer,2,lexical,7,inputsans,hunneshed,non-word,Probably non-word,0.6666666666666667,,,1911,60,difficult to read,19-03-2019 16:25
