,StudyID,ParticipantID,TestID,Type,Order,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date
105,1,148,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,0.9375,3017.1875,7.959825628341243,2734.5,3299.875,7.868650216135678,8.051001040546808,0.9140625,1.0,0.84375,50.0,23,11-04-2019 19:54
106,1,148,2,lexical,1,sansforgetica,True,Non-designer,False,arial,0.95,3032.75,7.924164268467128,2287.7,3777.8,7.64798419910336,8.200344337830893,0.945,,,100.0,26,11-04-2019 19:54
107,1,148,2,recognition,2,sansforgetica,True,Non-designer,False,arial,0.8125,3009.25,7.9290644739958225,2028.125,3990.375,7.597549332703261,8.260579615288385,0.796875,0.96875,0.625,100.0,26,11-04-2019 19:54
108,1,149,1,lexical,1,arial,True,Non-designer,False,arial,0.95,4616.9,8.33290401058259,3127.1,6106.7,8.000509290614982,8.665298730550195,1.0,,,100.0,89,11-04-2019 19:53
109,1,149,1,recognition,2,arial,True,Non-designer,False,arial,0.875,3588.625,8.005609590719796,4490.125,2687.125,8.248306840558257,7.762912340881335,0.9375,0.875,1.0,100.0,89,11-04-2019 19:53
110,1,149,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,5610.3,8.44068229552902,3290.1,7930.5,7.982061378512654,8.899303212545387,1.0,,,75.0,79,11-04-2019 19:53
111,1,149,2,recognition,2,arial,True,Non-designer,False,sansforgetica,1.0,4149.8125,8.245438349858865,3622.75,4676.875,8.145149809147595,8.345726890570132,1.0,1.0,1.0,75.0,79,11-04-2019 19:53
112,1,150,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,1.0,1858.7,7.496168699875294,1624.6,2092.8,7.384617902470891,7.607719497279698,1.0,,,50.0,50,11-04-2019 19:51
113,1,150,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,1.0,1993.6875,7.550140020772783,1865.75,2121.625,7.512891090360215,7.587388951185352,1.0,1.0,1.0,50.0,50,11-04-2019 19:51
114,1,150,2,lexical,1,sansforgetica,True,Non-designer,False,arial,0.95,1563.5,7.323213090589578,1673.7,1453.3,7.369176799609361,7.277249381569791,0.9500000000000001,,,100.0,50,11-04-2019 19:51
115,1,150,2,recognition,2,sansforgetica,True,Non-designer,False,arial,0.875,1817.25,7.472769544782226,1880.25,1754.25,7.495588672107608,7.449950417456843,0.875,0.875,0.875,100.0,50,11-04-2019 19:51
116,1,151,1,lexical,1,arial,True,Non-designer,False,arial,1.0,3856.6,8.177138020939813,3394.4,4318.8,8.038176515981025,8.316099525898599,1.0,,,100.0,71,11-04-2019 19:26
117,1,151,1,recognition,2,arial,True,Non-designer,False,arial,0.9375,9267.4375,8.810787752935346,5595.25,12939.625,8.599382986073165,9.022192519797523,0.9921875,0.96875,1.0,100.0,71,11-04-2019 19:26
118,1,151,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,6145.4,8.552179898863523,6587.5,5703.3,8.549856760048973,8.554503037678069,1.0,,,25.0,77,11-04-2019 19:26
119,1,151,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.9375,5241.5625,8.398021841529092,3574.5,6908.625,8.159758372917368,8.63628531014082,0.921875,0.875,1.0,25.0,77,11-04-2019 19:26
120,1,152,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2942.0,7.900625904510974,1958.4,3925.6,7.5696839412235635,8.231567867798391,1.0,,,50.0,40,11-04-2019 19:22
121,1,152,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,0.9375,2948.75,7.931484827020176,2472.5,3425.0,7.769192799725849,8.093776854314504,0.9140625,1.0,0.84375,50.0,40,11-04-2019 19:22
122,1,152,2,lexical,1,sansforgetica,True,Non-designer,False,arial,1.0,2349.85,7.714618980438398,1797.3,2902.4,7.488693122926615,7.94054483795018,1.0,,,100.0,41,11-04-2019 19:22
123,1,152,2,recognition,2,sansforgetica,True,Non-designer,False,arial,0.8125,2356.3125,7.722966507846946,1988.375,2724.25,7.5571616366291074,7.888771379064785,0.8671875,0.75,1.0,100.0,41,11-04-2019 19:22
124,1,153,1,lexical,1,arial,True,Non-designer,False,arial,0.95,3274.05,8.040002457350571,3056.5,3491.6,7.943190403921942,8.1368145107792,0.9500000000000001,,,50.0,48,11-04-2019 17:58
125,1,153,1,recognition,2,arial,True,Non-designer,False,arial,0.9375,3280.25,8.020238164331316,3501.25,3059.25,8.064547713152493,7.975928615510138,0.9296875,0.875,1.0,50.0,48,11-04-2019 17:58
126,1,153,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,3552.8,8.1346093194041,3305.4,3800.2,8.039647171979741,8.229571466828462,1.0,,,50.0,50,11-04-2019 17:58
127,1,153,2,recognition,2,arial,True,Non-designer,False,sansforgetica,1.0,2999.125,7.974179802971016,3207.875,2790.375,8.020797788222035,7.927561817719999,1.0,1.0,1.0,50.0,50,11-04-2019 17:58
